timestep,generation,time,collection_time,train_time,return,episode_length,entropy,policy_loss,kl_approx,clip_fraction,ESS,value_loss,explained_variance
70000,1,46.074288845062256,22.316219329833984,21.300795316696167,-0.007228589213142791,18.451896858215335,13.770103422800693,0.001818815772493486,0.06023712308294512,0.5775249226765884,0.8617138805075114,0.006381342305574086,0.07641130443148296
140000,2,93.22451210021973,43.996989250183105,44.298129081726074,-0.0072248395687590046,18.597680791219076,13.994381809234618,-0.03728298166630197,0.06388606234531834,0.5731897022338063,0.8482554891867744,0.0011351182687258019,-1.244094349430506
210000,3,139.82947421073914,65.72538590431213,66.68026518821716,-0.007713576095799604,18.731060600280756,14.286794567108155,-0.028901907327064748,0.06577698153018471,0.5747759714230994,0.8470015680046334,0.0006787862681802079,-6.868351883188748
280000,4,187.52410101890564,87.51000595092773,90.14603114128113,-0.007596422281737129,18.57830880482991,14.516306209564211,-0.049695479657792224,0.06183871575548579,0.5668408840797203,0.8450332468574896,0.00039836926581690677,-7.341960980776145
350000,5,235.24469590187073,109.32212400436401,113.69412922859192,-0.007702959996337692,18.637831433614096,14.71603609720866,-0.06464512846143484,0.05483741875304075,0.5646921900612324,0.8502475260658495,0.00027884591626249893,-7.490710489922781
420000,6,283.703861951828,131.08925914764404,137.97961235046387,-0.007436833608274659,18.69322916666667,14.93200362523397,-0.06320176265449096,0.058965145510453815,0.5761684011841897,0.8551054452461605,0.00020187725982796016,-5.840638830682655
490000,7,332.3371298313141,152.90592527389526,162.41382718086243,-0.007648678449913859,18.49286530812581,15.097022310892738,-0.05611581987238844,0.049995103913382785,0.5614434268789095,0.8456773023742935,0.00016501681664493525,-5.440598804749768
560000,8,379.994726896286,174.5508964061737,186.0735502243042,-0.007402609063622853,18.792393112182616,15.241296450297035,-0.03259757142874995,0.06015169539920486,0.5512716550312523,0.8588060446526231,0.0001274895133884049,-4.61194737597543
630000,9,427.8136820793152,196.33202528953552,209.69516515731812,-0.007159871887415644,18.75798098246256,15.464649136861166,-0.05294278197907762,0.05513492989223933,0.5648204096523438,0.823990299434622,0.00010347164807439173,-2.524038389213268
700000,10,475.7623522281647,218.21737432479858,233.24106526374817,-0.007028125381718078,18.626806322733565,15.611761411031084,-0.06254960530378438,0.05525204866165272,0.5443437187822381,0.8565211751831563,8.56557881244263e-05,-1.8355579238781108
770000,11,524.4751801490784,240.0157985687256,257.8540380001068,-0.006971456653748948,18.657031250000003,15.81226838429769,-0.05735964125322218,0.04990889895539048,0.5452343910240405,0.8524622959406252,6.95066832321133e-05,-2.1742463837882395
840000,12,572.2371170520782,261.8598165512085,281.43734908103943,-0.0064337195924900736,18.910222481037014,15.984213171334105,-0.030498547205334833,0.05966677368950463,0.5657269910649304,0.8615978525184556,6.161755298500454e-05,-1.5925020299512982
910000,13,620.2301940917969,283.6741626262665,305.21476697921753,-0.007000853548404471,18.953242532138173,16.168375376997314,-0.012841255770682443,0.059432320150224045,0.5435803496951034,0.8607470348935872,5.591712450054819e-05,-1.2266771251506043
980000,14,668.9701809883118,305.5162556171417,329.74786019325256,-0.00643536992017822,19.048281834043298,16.3332689877214,-0.030693843358108694,0.06034799143764568,0.5602713073843792,0.8617637884745551,6.0473974072052335e-05,-1.1422746482478379
1050000,15,717.6730470657349,327.37965655326843,354.19092440605164,-0.006204318303357938,18.926275121754614,16.463692303361565,-0.046727191179920524,0.06354365826873733,0.5627156726949908,0.8496692635522727,4.9061519277151745e-05,-0.5326534196202135
1120000,16,767.2404978275299,349.1940507888794,379.56156158447266,-0.005608347613878292,19.031886265195645,16.68485424436372,-0.0724611258376456,0.06033210566911252,0.5557886607178103,0.8587557498466628,5.618461132408671e-05,-0.3010119581840342
1190000,17,816.3929557800293,371.0033206939697,404.5119686126709,-0.005639184587474528,19.03462456012594,16.779145668292866,-0.07512552617582272,0.05319846388493571,0.5652067444103958,0.836263540164975,4.1219606471834266e-05,-0.046277747620343125
1260000,18,866.7524328231812,392.7861592769623,430.73225235939026,-0.005268106156767441,19.106842698722048,16.98818700066928,-0.0713618859491918,0.057409445073894116,0.5447705646151104,0.8567729394445017,3.664279922334392e-05,-0.07299441778018179
1330000,19,916.7772779464722,414.5596454143524,456.56533551216125,-0.005254091727065628,19.07874074475519,17.117853888149916,-0.04933698492751514,0.054861921142912835,0.5407833849678515,0.8642369241078405,3.496394956650747e-05,-0.07760707764481359
1400000,20,966.8836140632629,436.3797962665558,482.45949625968933,-0.005206537738057046,19.124852739531416,17.33428356565278,-0.04066208799070103,0.05281829725763463,0.5618939096333033,0.8523889561517785,3.6297356088312125e-05,-0.09360033951123378
1470000,21,1016.2385251522064,458.2819483280182,507.56644010543823,-0.004130859690686239,19.18532141323748,17.435993194580078,-0.05783944747430544,0.06282126720737943,0.5480979248333596,0.8537263197187649,4.11147782995063e-05,0.02502646123731669
1540000,22,1065.3554091453552,480.14893651008606,532.4662199020386,-0.003966316363999043,19.09773254394531,17.687118661814722,-0.03906298713363188,0.06406587279625425,0.5514333490747663,0.8671124207140032,4.0947255743776037e-05,-0.040243828492033965
1610000,23,1114.8959782123566,502.0140964984894,557.6879386901855,-0.003913600070016651,19.198650294336783,17.77182342266214,-0.05427936947530359,0.0610936187825677,0.5446077696175256,0.8694268707178795,3.3475374328284814e-05,0.22288193669800943
1680000,24,1164.2654070854187,523.7310965061188,582.9722707271576,-0.003220486956455841,19.141248834544214,17.93875325959305,-0.056370093546303936,0.06729132498747406,0.5555653219272773,0.8658908536523814,4.1214019734329705e-05,0.15651299649260722
