timestep,generation,time,collection_time,train_time,return,episode_length,entropy,policy_loss,kl_approx,clip_fraction,ESS,value_loss,explained_variance
33600,1,44.84364199638367,31.795150756835938,11.609375,-0.7597561808367399,50.93203325309201,3.8203997421210065,-0.05131286147731324,0.018656335565788048,0.25152305055213686,0.9672973761261798,0.006349667025761012,0.3719540620455415
67200,2,217.58618688583374,191.19987893104553,23.666446924209595,-0.727525347996926,56.00065875420555,3.7894286785551756,-0.05314112822959219,0.02119799723043857,0.27930894932470945,0.9658248517634355,0.0048965985491212375,0.38795887613469193
100800,3,263.0945448875427,223.2668890953064,35.85191297531128,-0.7058336165387719,58.954017230517614,3.7794020657134797,-0.06072934920437534,0.015208118891755334,0.31210974574403755,0.9630706168190202,0.006064049515757741,0.4166779186118607
134400,4,305.82953357696533,255.52182030677795,43.70569109916687,-0.6131014543346525,68.05145006350227,3.7574531022929696,-0.07229190113254164,0.01214683242580089,0.3327365074019635,0.9614628859866041,0.006664953585406555,0.4032271503285598
168000,5,346.9161887168884,287.82707023620605,51.824524879455566,-0.5482394138796333,72.10843183312474,3.7404599893760024,-0.07118811301423181,0.009709778694418832,0.34750043091791377,0.9595682520199815,0.007841774694263231,0.39335696560710925
201600,6,388.94829988479614,320.1597011089325,60.819522857666016,-0.5373668592987838,69.04980745023053,3.7144619596232724,-0.07540947281978412,0.013279318466249182,0.346179396800787,0.9573649649574637,0.011414438110835487,0.38061792317711085
235200,7,429.92495465278625,352.4969789981842,68.79143285751343,-0.49180835509838183,73.72322168685801,3.705092433829211,-0.08300961737324458,0.006555667113654243,0.3794576087610525,0.9541591091688288,0.011557910643539705,0.4309023552781407
268800,8,471.30803394317627,384.8321301937103,77.1564769744873,-0.46329374093324843,77.21102575997183,3.687322037638781,-0.08617588426924278,0.012054038302657501,0.37775356535101956,0.9530279227234123,0.010304746309620043,0.510020424943236
302400,9,512.2182908058167,417.16914200782776,85.05785584449768,-0.3645023827271765,76.52930141843103,3.6690829209258324,-0.08439060865177193,0.01429070352913513,0.36823585823257154,0.9542519095658099,0.011572407617440656,0.5986003239441552
336000,10,553.5257866382599,449.5029721260071,93.36853790283203,-0.34870455179446547,76.03065154366796,3.6629948536731574,-0.08752884413905328,0.012989330961883847,0.37894928890757834,0.9502600625278375,0.013049498022148318,0.6157220009682173
369600,11,594.5992398262024,481.93677520751953,101.375412940979,-0.346950452587275,84.81792168164176,3.6395459860131716,-0.0899164538935726,0.010119341058481729,0.3936347886759105,0.950197384432328,0.011486652025228023,0.6395247716439575
403200,12,634.4845638275146,513.335645198822,109.19117379188538,-0.3343284683638313,83.23571559068282,3.638947093569168,-0.09127730040149841,0.0048878123670684295,0.3918328491816861,0.9507902000493206,0.011119511442636433,0.6837115010887085
436800,13,675.246880531311,545.7540001869202,116.9147698879242,-0.3418807329444471,80.8491273955319,3.6280813202957294,-0.08364134924916869,0.002179820594717092,0.3770179501289353,0.9509473480491303,0.010805636462763002,0.6001933901548202
470400,14,715.8644216060638,578.0609662532806,124.51661610603333,-0.23852400587189082,80.93798131193567,3.607387131705674,-0.087872140655295,0.02019298326392261,0.3884499865775109,0.9434718693117674,0.009389267455877,0.6955073657689769
504000,15,756.7242307662964,610.516312122345,132.25110411643982,-0.25686934751355595,79.33940268674876,3.5945699341564787,-0.08402186959575628,0.0047350883817265255,0.3816857120195391,0.9479547356964861,0.010878306666845,0.6978749871537167
