timestep,generation,time,collection_time,train_time,return,episode_length,entropy,policy_loss,kl_approx,clip_fraction,ESS,value_loss,explained_variance
14000,14,1176.7062547206879,1168.5647904872894,7.279057502746582,0.9230769276618958,6.993007183074951,0.03612428158521652,-0.0004817032692508917,-0.0005157513563232545,0.0028266878748054607,0.9997460885430428,4.770828026876303e-06,0.99410393191359
15000,15,1283.4920434951782,1274.7819905281067,7.785046339035034,0.9230768084526062,6.993007183074951,0.029045792296528816,-0.0003309260816572037,3.174071270763579e-06,0.0037124962895011145,0.9997509803916051,4.799410595711324e-06,0.9946344267709741
16000,16,1391.5012667179108,1382.1900374889374,8.32516360282898,0.9236111044883728,6.94444465637207,0.02333240583539009,-0.00033276762595416495,-5.610849450968623e-05,0.0020695110569346853,0.9998664556093141,2.2744687898216518e-06,0.9971042381818314
17000,17,1499.850783586502,1489.9301445484161,8.868057250976562,0.9230769276618958,6.993007183074951,0.01958531141281128,-0.00024215017094701048,0.0005080771754946753,0.0035107770907967166,0.9997110738505104,3.704097111636706e-06,0.9950413632730492
18000,18,1613.8645267486572,1603.2311453819275,9.501094341278076,0.9295774698257446,7.042253494262695,0.015861446037888527,0.00024043355732568372,0.002115445019926656,0.0072557325110411425,0.9992768897564309,7.468827734407221e-06,0.9916397011533118
19000,19,1764.7643887996674,1753.3049025535583,10.235064268112183,0.9230770468711853,6.993007183074951,0.011910946108400822,-0.0016729232281082577,-3.69528148027852e-05,0.0,0.9999999486599171,4.552924983167123e-08,0.9999551172735516
20000,20,1886.917269706726,1874.5466866493225,11.047919988632202,0.9236111044883728,6.94444465637207,0.011652106419205666,-0.0004683889722310344,5.435515065694925e-05,0.0010980469057227046,0.9999479060624951,2.2830481983258038e-07,0.9997119087560019
21000,21,2011.0677316188812,1997.77600979805,11.879791021347046,0.9236113429069519,6.94444465637207,0.010293184779584408,-0.0001774728786296234,-3.114641755497164e-06,0.0,1.0000000118815846,6.248760233952101e-10,0.9999993308930712
22000,22,2131.81689453125,2117.6136689186096,12.70017695426941,0.9230769276618958,6.993007183074951,0.010274197906255722,0.00010133151206278728,0.0005608556070093382,0.0026903013712455855,0.9998297120302466,3.2300519017628287e-06,0.9962017815613055
23000,23,2256.6328155994415,2241.667632818222,13.372301816940308,0.9236111044883728,6.94444465637207,0.008762124925851822,-0.0003410983046384716,-8.635567592310594e-06,0.0005340304608094622,0.9999708134073243,2.2231693456144794e-07,0.9997406499043289
24000,24,2379.4926047325134,2363.6737740039825,14.1402268409729,0.9236113429069519,6.94444465637207,0.007699926849454641,-2.8666071676951273e-05,-3.74613488508657e-06,0.0,0.9999999463074009,1.1867590922432317e-09,0.999998804081093
25000,25,2500.3871417045593,2483.643294095993,14.967304706573486,0.9236111044883728,6.94444465637207,0.007673047482967377,4.769809508089014e-05,8.680459446298943e-05,0.000659296865196867,0.9999619555062361,6.075331569393409e-07,0.9992413962898054
