generation,time,collection_time,train_time,return,episode_length,entropy,action_std,policy_loss,kl_approx,clip_fraction,ESS,value_loss,explained_variance
1,130.94831204414368,99.60114192962646,29.903945922851562,1.0292236804962158,11.98630142211914,3.2772834300994873,0.7025703191757202,-1.103883582353592,0.10765803690652052,0.4450023859739304,0.8968104004859925,0.3004760712385178,-1.5847018599510192
2.0,260.8954601287842,199.27209401130676,58.75332570075989,1.0558712482452393,12.237762451171875,3.2545652389526367,0.6978224515914917,-0.8915700912475586,0.014457450694253757,0.12948214411735534,0.9803195714950561,0.3684467613697052,-1.2317884743213654
3.0,390.4146611690521,298.64523816108704,87.24511647224426,1.067891001701355,12.38938045501709,3.1612703800201416,0.686741292476654,-0.6575150907039642,0.01143984230236993,0.11627618968486786,0.9833147525787354,0.5266329765319824,-0.6264628797769547
4.0,520.5476763248444,398.1607940196991,116.50375938415527,1.099713683128357,12.658227920532227,3.0682849884033203,0.679740846157074,-0.3775239735841751,0.00800498145409816,0.0893166659399867,0.9871866047382355,0.4498678922653198,-0.6545104831457138
5.0,650.7188212871552,497.4355208873749,145.90757513046265,1.10036301612854,12.704174041748047,3.0523741245269775,0.6746728420257568,-0.2354348048567772,0.007270724628679459,0.08275238070636988,0.9870614469051361,0.5255070626735687,-0.5316944986581802
6.0,779.9666969776154,596.5722305774689,174.44429802894592,1.134466290473938,13.035381317138672,3.0893962383270264,0.6750597357749939,-0.0207461129873991,0.006487436797407764,0.06882023811340332,0.9900787889957428,0.5223263025283813,-0.35485592782497405
7.0,909.258917093277,696.1658039093018,202.7184808254242,1.1676208972930908,13.358778953552246,3.0479848384857178,0.6721295714378357,0.019471632689237593,0.008115514959146575,0.08120952416211366,0.9877776801586151,0.5360821843147278,-0.5024350821971894
8.0,1038.7085950374603,795.8799889087677,231.0735306739807,1.2184089422225952,13.806706428527832,2.8909714221954346,0.6529554724693298,0.09246439561247825,0.007652276324099372,0.08589642820879817,0.9878515541553498,0.5384492754936219,-0.40132337212562563
9.0,1166.735199213028,894.3071429729462,259.21339750289917,1.2515044212341309,14.198782920837402,2.903191566467285,0.6559358835220337,0.17177843153476716,0.006512020390835546,0.06641785660758615,0.9902304768562317,0.5523379147052765,-0.5714979618787766
10.0,1295.2276813983917,992.9535789489746,287.6688115596771,1.2826790809631348,14.462809562683105,2.8904757499694824,0.6546081304550171,0.196310093998909,0.007425261302718089,0.08146190401166678,0.9884746968746185,0.5484048664569855,-0.5466594010591507
11.0,1424.466608285904,1092.483413219452,315.98081254959106,1.3485209941864014,15.151515007019043,2.832127809524536,0.6485876441001892,0.21516899168491363,0.009535165119384017,0.11177499778568745,0.9848173439502717,0.5401136934757232,-0.7634574472904205
