timestep,generation,time,collection_time,train_time,return,episode_length,entropy,policy_loss,kl_approx,clip_fraction,ESS,value_loss,explained_variance,lr,alpha
42000,1,12.281276941299438,7.920676946640015,3.663090944290161,0.07853056143762337,18.82190608978271,1.120563096470303,0.011608538992697828,0.00027999867267313665,0.0,0.9998171836364873,0.16404894396126893,-0.3055929730933104,1e-06,0.009981410469308064
84000,2,25.23317527770996,16.58177924156189,7.328135967254639,0.0028073056846072844,18.066163314016244,1.1271195913615977,-0.03327910870067557,0.004960786967948611,0.09429138039776461,0.9758091347312445,0.05750051744487477,0.4610184214956608,0.0001,0.008210249294453444
126000,3,38.0298490524292,25.150248289108276,10.957038164138794,0.030426518474188112,18.336960262722446,1.1480497982766893,-0.03673829802291179,0.006131689291845097,0.07908790928309264,0.9877521043044424,0.05693624787290964,0.5090690142139188,9.99888864929809e-05,0.006723907887920136
168000,4,50.441997051239014,33.236000299453735,14.670222997665405,0.20168674572864004,20.1796875,1.184224297018612,0.017899590527377444,0.003734155638177763,0.08571696619562318,0.9863889320236728,0.0704694234911226,0.5057974562715026,9.995555091232516e-05,0.005508541489140593
210000,5,62.70396327972412,41.1346321105957,18.437636137008667,0.07417055974817938,18.72580697801378,1.191959937413534,-0.00026692351774781475,0.01137383762380341,0.09584450606652625,0.9860974410628713,0.06817091319202906,0.48679878190468734,9.990000807704114e-05,0.004550985056764466
252000,6,75.17806220054626,49.36083197593689,22.155318021774292,0.21280502089682743,20.322234322043023,1.1779231323915371,0.03187039675515843,0.010971744676259356,0.08894510524159215,0.98608121908724,0.07588119401907546,0.5106643942599223,9.982228267815643e-05,0.0037573039162381115
294000,7,87.65492534637451,57.46806287765503,25.962382078170776,0.36314281659821673,21.9360179901123,1.1746158997217815,0.01949314688665129,0.008719106212500887,0.12060674813531876,0.9833377991113783,0.0825489376014159,0.5282312178543462,9.972240926774168e-05,0.003107218998759268
336000,8,100.22308015823364,65.77185678482056,29.67265295982361,0.39244842429955795,22.059457906087243,1.1482728163401283,-0.012942553469913957,0.0076425871823487404,0.08634747838176482,0.9856950393848638,0.09696775691323818,0.5242919477316387,9.96004322435508e-05,0.002587830269532937
378000,9,114.01297521591187,75.28055191040039,33.47905611991882,0.7751057709638889,25.745399475097653,1.0975707402596109,0.006254456210912075,0.008329402492398792,0.09141663285723815,0.9855129565384627,0.1324985023805586,0.70989869391897,9.945640582928437e-05,0.002180583971580247
420000,10,127.57397222518921,84.87530493736267,37.011261224746704,1.57636997434828,32.795216454399956,0.9857266743977864,-0.010500450313073641,0.00560236636296157,0.04628865985452969,0.9914214354953909,0.20105273784039923,0.7841646889416307,9.929039405048501e-05,0.0019083966496460775
462000,11,141.31198716163635,95.16684293746948,40.115782260894775,2.2074778846332004,38.397640228271484,0.9370860883167812,-0.050620667229947604,0.009878664695357501,0.07706155502413861,0.9878226428960987,0.24383096731311937,0.8141487602696847,9.910247070607552e-05,0.0017051918240534398
504000,12,155.48211121559143,105.57903909683228,43.48599720001221,1.645328422387441,33.40569771660699,0.9088051716486613,0.012398519406371432,0.01028646073715651,0.08981333757934945,0.9860768822794508,0.2729209283486965,0.8248396728567227,9.889271933555213e-05,0.0015122561010585053
546000,13,169.10828638076782,115.28048539161682,46.97909998893738,1.476749336719513,32.22014045715332,0.8877673804759979,0.016500889710269456,0.011254551492347246,0.09448540149634728,0.986032130740287,0.2752477655957197,0.8056414163991916,9.866123318184803e-05,0.0013516188268575392
588000,14,182.90480041503906,125.06586647033691,50.59028506278992,1.8367189036475287,35.90798611111111,0.8249438603719076,0.03351406092842434,0.010473281263912611,0.11264618638735614,0.9833691559849647,0.33034292055274356,0.7623443297906276,9.840811514988294e-05,0.0012419614830805339
630000,15,202.1073453426361,140.53488445281982,53.96650528907776,3.113007783889771,47.83984375000001,0.8058802386124929,-0.008704644198379217,0.0060551624747294,0.0921257886906443,0.9853374023848679,0.3320977365011825,0.8290647486532953,9.813347776081789e-05,0.0011830810689990937
672000,16,215.2003173828125,150.07760548591614,57.18874406814575,2.322940230369568,40.46394566127232,0.7948517543928963,0.012097937845788831,0.01021051739881436,0.1044387208984256,0.9839879581942867,0.3942196770462346,0.8026325769254967,9.783744310203491e-05,0.0011724560642694542
714000,17,228.2805051803589,159.6592574119568,60.39895677566528,4.09553279876709,56.62762985229492,0.7199361443519593,-0.03812883398360445,0.008561825961704494,0.13045748072284868,0.9797219216922883,0.3417056261316323,0.8499096062266671,9.752014277286432e-05,0.0012585454192759152
756000,18,247.08037519454956,175.3499391078949,63.267772912979126,6.07574462890625,74.9539623260498,0.6711938828229904,-0.0040796597340902385,0.010514854923552435,0.12835662789493285,0.9814873226598794,0.3595080399281994,0.826739061720794,9.718171782608356e-05,0.0013453179752566334
798000,19,266.21004128456116,191.008962392807,66.43064188957214,6.841829061508178,82.53781318664551,0.6174922585487366,0.013345582934752563,0.008163906129087748,0.11492281902284064,0.9812000737845525,0.46703448595498126,0.7207967058006367,9.682231870521347e-05,0.0014775000852274422
840000,20,285.1815700531006,206.7065556049347,69.45637202262878,8.870925903320312,101.67018636067706,0.6390130718549092,0.034438875223231996,0.01516036365754363,0.17550135752217194,0.9748390593211398,0.39386399912148107,0.7515604287565254,9.644210517764014e-05,0.001653113566030985
882000,21,303.9719150066376,222.29504680633545,72.43117499351501,15.240453084309895,161.38107808430988,0.5389368832111359,-0.018255257767501566,0.010523502525396567,0.09738651707857048,0.9852140761651332,0.2619723906664561,0.7978887976622863,9.60412462635919e-05,0.0018671210641771198
924000,22,321.81097078323364,236.96062684059143,75.39102578163147,12.502825260162354,135.57962036132812,0.5543888807296753,0.020417321589834475,0.01343826824811403,0.1760425164802703,0.9737649088005355,0.3030738609641734,0.7314649926271529,9.561992016100292e-05,0.002119242499468612
966000,23,339.4581847190857,251.49703288078308,78.28543257713318,13.771895408630371,146.35602569580078,0.5517516583204269,0.002811737095029293,0.013478790593924143,0.1578812359388535,0.9769332924664402,0.2380837346882142,0.7085649138590291,9.517831416629716e-05,0.002351453490901393
1008000,24,356.646746635437,266.133202791214,80.66033554077148,16.96054983139038,174.65234375,0.6657913029193878,-0.018454352829076752,0.01888805895923684,0.13664972680262094,0.9770070501744217,0.12956606337886525,0.6303402456337865,9.471662459112747e-05,0.0024658221096631023
1050000,25,374.0216255187988,280.74421072006226,83.23845958709717,19.91211223602295,201.5,0.5723564624786377,-0.024680046303707605,0.005226189679603914,0.11867520038307647,0.9791768344255404,0.0634338991389109,0.6284026786101069,9.423505667510724e-05,0.002663542546650898
1092000,26,391.20254349708557,295.3630256652832,85.62589263916016,18.852893829345703,190.7734375,0.6410748362541199,-0.01979697590048506,0.008433690851034169,0.08888416501052424,0.9853965934037732,0.044761007762830915,0.6876552191953775,9.373382449457304e-05,0.0028658435837514095
1134000,27,408.47594833374023,309.99813437461853,88.0835165977478,22.570707321166992,227.26953125,0.5517343580722809,-0.04317609184814066,0.010606396229197422,0.11284645928034776,0.9808219600424218,0.021627791532136283,0.7612432215685679,9.321315086741917e-05,0.003185796714703978
1176000,28,425.8173682689667,324.62633538246155,90.59315776824951,19.8829288482666,200.31707763671875,0.529980480670929,-0.00802308194599072,0.008777628144863794,0.18230974540323286,0.9657802770730888,0.004471769192520067,0.8847816814744547,9.267326725404599e-05,0.0034547148785930956
1218000,29,443.16840529441833,339.26003241539,93.13156771659851,20.372323989868164,207.73772430419922,0.6034727692604065,-0.034907558487579794,0.013078647699878213,0.1074818840994741,0.9839674504640815,0.03368215643779394,0.6236509276245643,9.21144136544666e-05,0.003712990745147032
1260000,30,460.247225522995,353.9159812927246,95.38815879821777,19.810659408569336,199.51638793945312,0.5652145743370056,-0.03024379551618563,0.0022207775616242985,0.11746554544282682,0.9832216182931273,0.013404189828803335,0.6173750350316868,9.153683850161706e-05,0.0039678292130919226
1302000,31,477.488406419754,368.5263833999634,97.84517288208008,20.783596992492676,210.18024444580078,0.6106838583946228,-0.026650847183691057,0.014010517399216105,0.12990970898846343,0.9754278924104521,0.015864374277343184,0.6074227635150359,9.094079855091797e-05,0.004258705521761132
1344000,32,494.6237804889679,383.1726381778717,100.1749951839447,19.57381248474121,197.7063446044922,0.5284872651100159,-0.031134878995849342,0.014891942491771745,0.19368476714488841,0.9740631832207315,0.037231042546120606,0.22122490956428292,9.032655876613636e-05,0.00468430787341092
1386000,33,511.94550347328186,397.75924611091614,102.73121190071106,20.925003051757812,212.1436309814453,0.5085518509149551,-0.03474918013233192,0.016066382345661136,0.1490931637456644,0.9735882855185419,0.05081571319215576,0.09418697368873287,8.96943922015986e-05,0.005103325943525467
1428000,34,529.1404473781586,412.3918170928955,105.11774110794067,20.398414611816406,206.46824645996094,0.5100732445716858,-0.04346308147263485,0.007658492770100746,0.12984907704835255,0.9786905784259423,0.04474390335144672,0.20178398992588298,8.904457988080681e-05,0.005538315439668121
1470000,35,546.4913582801819,427.02888011932373,107.64297819137573,22.112815856933594,223.2132797241211,0.4543910324573517,-0.03534394006563427,0.012216476095435755,0.14648273665852982,0.9789259253206644,0.02384814035162546,-1.3157659867697116,8.83774106715125e-05,0.006138757732279068
1512000,36,563.7893035411835,441.64287996292114,110.14199733734131,20.700264930725098,209.8359375,0.5878340601921082,-0.011641456948984283,0.01022378739284813,0.09269564761648516,0.9819194402777198,0.01157407949443701,0.2023395302792221,8.76931811573033e-05,0.006541150013432549
1554000,37,581.1144924163818,456.23820400238037,112.68630313873291,17.34172821044922,178.76740264892578,0.5315815806388855,-0.017974919629029626,0.008460297343233752,0.09317565147047009,0.9843327750140184,0.06580198564997032,-0.09990104782247171,8.699219550575953e-05,0.007118853588956053
1596000,38,598.3307185173035,470.85263204574585,115.10881924629211,18.70859718322754,190.14453125,0.5573754012584686,-0.04332195889263051,0.008966119212085797,0.0993669808156869,0.9803198299346854,0.04207095245966248,-4.030192205451713,8.627476533323957e-05,0.007541535254701016
1638000,39,615.6346325874329,485.4899380207062,117.59600234031677,21.119050979614258,213.1746063232422,0.6215028166770935,-0.007491813817439912,0.0058030539382249715,0.07407924678347898,0.9877984937461594,0.0069956272114903035,-2.2531120637235436,8.554120956635375e-05,0.00782865091764132
1680000,40,632.9136445522308,500.1459970474243,120.03557229042053,19.57630443572998,198.84896087646484,0.5843476057052612,-0.020809003474463374,0.006773107576036127,0.06941572276530196,0.9847720041784837,0.052385816970818615,-1.0626174406516198,8.479185430018858e-05,0.008372115838614243
1722000,41,650.2427744865417,514.8018293380737,122.52380633354187,20.77890968322754,210.765625,0.5896350145339966,-0.02753664999029835,0.014923886818311,0.18589337627040708,0.9750346317945451,0.04615179099994738,0.10508034692260149,8.402703265334455e-05,0.008797706507328992
1764000,42,667.4444274902344,529.3883285522461,124.93463921546936,19.740182876586914,200.33091735839844,0.6322287917137146,-0.021376317998753332,0.01229337902488223,0.1372705341731213,0.9730584475568559,0.043818454227842106,-0.9678676435070637,8.324708461985124e-05,0.009062322255557738
1806000,43,684.9715623855591,544.0172324180603,127.63896942138672,21.53236961364746,218.67745208740234,0.7246349155902863,-0.015059744507877181,0.007914141148841963,0.08784856035911655,0.9790258831545176,0.11122903051966722,0.11266738215872066,8.245235691802644e-05,0.00903614498066202
1848000,44,702.3168995380402,558.6939873695374,130.1275234222412,19.348546981811523,197.01207733154297,0.7390097081661224,-0.02942652441196833,0.010277547728895336,0.10397050525183237,0.98160797069216,0.10763145329064853,-0.4761087982459074,8.164320283634585e-05,0.009208164441746571
1890000,45,719.9692816734314,573.2991561889648,132.9923574924469,18.94622802734375,193.97396087646484,0.6688616871833801,-0.013014333738685508,0.008761683396546214,0.11979813971633158,0.9721836017419855,0.14173426712877174,-0.08419460412727137,8.081998207639212e-05,0.00961251227997005
1932000,46,737.3330924510956,587.908271074295,135.57132053375244,19.03880500793457,194.55772399902344,0.6871444880962372,-0.021105998285728112,0.005773418041268938,0.0749334107780775,0.9865489749809694,0.11409628492814272,0.02551515317039072,7.998306059295301e-05,0.009726976185601125
1974000,47,754.7085614204407,602.5754837989807,138.10826444625854,20.904273986816406,211.35364532470703,0.6857865452766418,-0.0192994757074757,0.004218064822790145,0.08666797265368532,0.9854320255623642,0.10628072934744945,0.38396068967282515,7.913281043133978e-05,0.010057210622651507
2016000,48,771.9500644207001,617.22727394104,140.51683831214905,18.730549812316895,189.70703125,0.6533007919788361,-0.028492192112529378,0.00626847571896935,0.13883969763695936,0.9788052456276168,0.021804089800007278,-1.1096671758601757,7.826960956199794e-05,0.010364169543842013
2058000,49,789.2275404930115,631.903599023819,142.9382302761078,21.41888427734375,215.71875,0.6280989646911621,-0.026877957823236348,0.0020017168194599914,0.13363562476005147,0.9804801991563721,0.041431250219051106,-0.3257736263375062,7.739384171248435e-05,0.01058438353474148
2100000,50,806.5066425800323,646.5774078369141,145.3675103187561,20.17656707763672,203.96875,0.6425749659538269,-0.03168617679540547,0.004630375254405152,0.044198130051875485,0.9901798145593235,0.038819355855529494,-10.833375210179165,7.650589619688469e-05,0.010735447138760174
2142000,51,823.5398006439209,661.3592655658722,147.4092311859131,23.82174301147461,239.3478240966797,0.5990633368492126,-0.018308281127532765,0.0120448321999392,0.11337388746542977,0.9841944840834478,0.023113231084937253,-0.040983704075726254,7.560616774274775e-05,0.009242486591080172
2184000,52,840.535802602768,676.0558142662048,149.5523624420166,22.806066513061523,230.55555725097656,0.6981833577156067,-0.04494307039833301,0.009878911242296786,0.11103306789735547,0.9836306788151967,0.04594796893322192,-0.475024449572588,7.469505631561317e-05,0.008427740606743919
2226000,53,858.0174345970154,690.6916131973267,152.19299149513245,14.094446659088135,145.80512237548828,0.7698389291763306,-0.00020451503395677086,0.008582311091754814,0.0917457035431926,0.9863711891081537,0.27087833176625054,0.15584760889747679,7.377296694121058e-05,0.007613543654678796
2268000,54,875.0574746131897,705.3576860427856,154.42365741729736,21.684688568115234,219.6216278076172,0.7581380009651184,-0.0032576437581214087,0.009637410876087887,0.0954651052091611,0.9844848978761338,0.10607018798818685,-0.20507464815362064,7.284030952540937e-05,0.006998056130619218
2310000,55,892.6209115982056,719.9628002643585,157.18693137168884,14.527215480804443,150.62985229492188,0.7402918040752411,-0.006128033909996461,0.005457923332054066,0.05958529026004136,0.98978901042183,0.19941115389312927,0.2329370687205879,7.189749867199899e-05,0.006343319917147928
2352000,56,909.9895067214966,734.6414704322815,159.70855832099915,20.04590606689453,204.15573120117188,0.7760584354400635,-0.010150234333254958,0.009079824790900524,0.08496296559090982,0.9849768966437396,0.11540157635844672,-0.35358492569042893,7.094495349838092e-05,0.005835505661897075
2394000,57,927.7586047649384,749.2566223144531,162.66063022613525,16.871773719787598,173.26891326904297,0.6888997554779053,-0.017216574533301568,0.017419301794990367,0.1570701589788448,0.975420029091872,0.08334313835207013,0.33497767955477875,6.998309744925411e-05,0.00531590879865454
2436000,58,945.244069814682,763.9089744091034,165.31294631958008,19.910550117492676,203.109375,0.7023752927780151,-0.00845262752835595,0.013340451244359492,0.09136417260214959,0.9863272650380114,0.11491743775554267,0.14400086966495446,6.901235810837669e-05,0.00489334679500511
2478000,59,962.8059442043304,778.5371780395508,168.07620120048523,20.16878318786621,204.0399627685547,0.7477214634418488,-0.006376734844869396,0.00792227619568214,0.06906601071759373,0.9875103447566097,0.06526687836473079,-5.5178546940261555,6.803316700848779e-05,0.004496634813352018
2520000,60,980.3863832950592,793.1896359920502,170.8157811164856,17.185498237609863,176.38858795166016,0.734427273273468,-0.04699133201163496,0.012002765768506384,0.12647153382352885,0.9815704872683116,0.1006342083510764,-0.247320886832786,6.704595943947385e-05,0.00413696528494581
2562000,61,997.9928712844849,807.7991728782654,173.6413459777832,21.193575859069824,214.73721313476562,0.7138768136501312,-0.031982167748213684,0.00915908169804942,0.12148286254160848,0.9816377541932945,0.0587993426564199,-0.2033877668138928,6.605117425486482e-05,0.0038119735570518306
